Gene Symbol,SumCoverage,SumNum Proteins,SumNum Unique Peptides,SumNum Peptides,SumNum PSMs,Score A2,Coverage A2,Num Peptides A2,Num PSM A2,Score A4,Coverage A4,Num Peptides A4,Num PSM A4,Num AAs,MW kDa,calc pI
ACTB,73.6,17.0,11.0,31.0,1198.0,13613.86,73.6,31.0,612.0,1401.82,73.6,30.0,586.0,375.0,41.7,5.48
ACTBL2,26.33,1.0,2.0,8.0,341.0,2450.08,26.33,8.0,174.0,231.8,26.33,8.0,167.0,376.0,42.0,5.59
ACTC1,37.14,16.0,2.0,18.0,711.0,6071.03,37.14,18.0,366.0,596.29,37.14,18.0,345.0,377.0,42.0,5.39
ACTL6B,13.38,1.0,3.0,3.0,8.0,26.01,13.38,3.0,4.0,2.43,13.38,3.0,4.0,426.0,46.8,5.71
ACTN1,16.69,15.0,1.0,14.0,54.0,491.79,16.46,13.0,27.0,37.06,16.69,14.0,27.0,887.0,102.6,5.5
ACTN2,20.02,4.0,8.0,15.0,37.0,315.02,18.12,13.0,18.0,22.27,18.23,14.0,19.0,894.0,103.9,5.52
ACTN4,37.87,13.0,11.0,29.0,101.0,1047.95,35.89,27.0,50.0,79.36,37.87,29.0,51.0,911.0,104.8,5.44
ACTN4,62.64,1.0,2.0,9.0,25.0,225.69,61.54,8.0,12.0,15.27,62.64,9.0,13.0,182.0,21.4,6.7
ACTR10,7.67,7.0,3.0,3.0,8.0,55.95,7.67,3.0,4.0,0.0,7.67,3.0,4.0,417.0,46.3,7.37
ACTR1A,42.77,5.0,11.0,11.0,41.0,336.0,33.73,10.0,20.0,37.65,42.77,11.0,21.0,332.0,37.4,5.66
ACTR2,22.84,3.0,6.0,6.0,16.0,132.38,20.56,5.0,7.0,7.1,22.84,6.0,9.0,394.0,44.7,6.74
ACTR3,32.06,5.0,9.0,9.0,22.0,163.57,32.06,9.0,12.0,13.08,27.27,8.0,10.0,418.0,47.3,5.88
ADAR,1.18,7.0,1.0,1.0,2.0,29.48,1.18,1.0,1.0,0.0,1.18,1.0,1.0,931.0,103.6,8.66
ADD1,42.63,12.0,18.0,19.0,109.0,891.17,41.2,17.0,53.0,94.67,41.84,18.0,56.0,631.0,69.9,6.46
ADD2,34.57,11.0,17.0,18.0,89.0,701.72,30.3,17.0,42.0,60.45,34.57,18.0,47.0,726.0,80.8,5.92
ADRA2A,7.56,1.0,2.0,2.0,6.0,49.09,7.56,2.0,3.0,2.14,7.56,2.0,3.0,450.0,48.9,9.74
ADRBK2,1.31,2.0,1.0,1.0,2.0,0.0,1.31,1.0,1.0,0.0,1.31,1.0,1.0,688.0,79.7,7.62
ADRM1,6.39,1.0,2.0,2.0,3.0,0.0,4.91,1.0,1.0,0.0,6.39,2.0,2.0,407.0,42.1,5.07
AFAP1,7.37,2.0,5.0,5.0,10.0,102.47,6.27,4.0,5.0,6.46,7.37,5.0,5.0,814.0,89.7,8.57
AFP,3.61,2.0,1.0,1.0,1.0,22.88,3.61,1.0,1.0,,,,,609.0,68.6,5.68
AGAP1,5.72,11.0,2.0,3.0,10.0,194.17,5.72,3.0,5.0,9.33,5.72,3.0,5.0,804.0,89.0,8.03
AGAP2,2.51,4.0,1.0,1.0,1.0,,,,,0.0,2.51,1.0,1.0,836.0,90.5,8.78
AGAP3,7.89,10.0,4.0,5.0,16.0,267.31,7.89,5.0,8.0,15.05,7.89,5.0,8.0,875.0,95.0,7.97
AGK,6.35,2.0,1.0,1.0,1.0,0.0,6.35,1.0,1.0,,,,,394.0,43.8,6.34
AGO1,6.14,7.0,4.0,4.0,8.0,41.12,6.14,4.0,4.0,3.71,6.14,4.0,4.0,782.0,88.8,9.19
AHCY,8.33,2.0,3.0,3.0,6.0,48.21,5.32,2.0,2.0,5.75,8.33,3.0,4.0,432.0,47.7,6.34
AHNAK,1.49,1.0,1.0,1.0,2.0,24.3,1.49,1.0,1.0,0.0,1.49,1.0,1.0,5890.0,628.7,6.15
AHNAK2,7.94,2.0,4.0,5.0,9.0,28.95,7.55,4.0,5.0,0.0,3.16,3.0,4.0,5695.0,605.3,5.36
AKAP12,16.94,3.0,17.0,17.0,58.0,413.17,16.22,16.0,28.0,27.76,16.94,17.0,30.0,1677.0,180.9,4.44
AKAP9,0.57,22.0,2.0,3.0,5.0,33.81,0.57,3.0,4.0,0.0,0.16,1.0,1.0,3857.0,447.5,4.98
AKD1,4.51,6.0,1.0,1.0,1.0,,,,,0.0,4.51,1.0,1.0,421.0,48.5,4.94
AKR1A1,4.31,1.0,1.0,1.0,2.0,31.33,4.31,1.0,1.0,0.0,4.31,1.0,1.0,325.0,36.5,6.79
ALB,37.11,7.0,22.0,22.0,84.0,696.91,34.98,20.0,42.0,52.37,32.35,20.0,42.0,609.0,69.3,6.28
ALDH2,6.63,13.0,2.0,2.0,5.0,56.54,6.63,2.0,2.0,0.0,6.63,2.0,3.0,377.0,40.8,6.25
ALDH3A2,6.62,10.0,2.0,2.0,4.0,41.58,6.62,2.0,2.0,0.0,6.62,2.0,2.0,393.0,44.6,5.53
ALDH5A1,3.13,4.0,1.0,1.0,1.0,,,,,0.0,3.13,1.0,1.0,447.0,48.3,7.08
ALDH7A1,4.9,3.0,1.0,1.0,2.0,,,,,0.0,4.9,1.0,2.0,347.0,37.4,8.87
ALDOA,23.08,10.0,6.0,6.0,18.0,188.61,23.08,6.0,10.0,17.26,19.78,5.0,8.0,364.0,39.4,8.09
ALDOC,31.11,6.0,2.0,2.0,5.0,64.46,31.11,2.0,3.0,2.31,31.11,2.0,2.0,135.0,15.0,8.59
ALYREF,11.28,2.0,2.0,2.0,6.0,121.23,11.28,2.0,3.0,9.92,11.28,2.0,3.0,257.0,26.9,11.15
AMER2,4.62,2.0,2.0,2.0,4.0,23.03,4.62,2.0,2.0,1.7,4.62,2.0,2.0,671.0,69.5,6.99
AMPH,9.95,4.0,3.0,3.0,5.0,49.5,9.95,3.0,3.0,0.0,7.66,2.0,2.0,653.0,71.8,4.74
AMY1B,7.96,2.0,1.0,1.0,1.0,,,,,0.0,7.96,1.0,1.0,226.0,25.6,7.31
ANK2,39.12,35.0,108.0,119.0,550.0,5165.05,38.29,115.0,277.0,492.34,37.63,113.0,273.0,3957.0,433.4,5.14
ANK3,8.45,7.0,17.0,28.0,89.0,609.56,8.18,26.0,43.0,49.77,8.16,26.0,46.0,4377.0,480.1,6.49
ANKFY1,1.54,3.0,1.0,1.0,4.0,84.33,1.54,1.0,2.0,2.06,1.54,1.0,2.0,1169.0,128.3,6.1
ANKIB1,2.02,1.0,1.0,1.0,2.0,0.0,2.02,1.0,1.0,0.0,2.02,1.0,1.0,1089.0,121.9,5.11
ANKRD44,3.16,8.0,1.0,1.0,2.0,27.37,3.16,1.0,1.0,0.0,3.16,1.0,1.0,507.0,55.2,6.98
ANKS1B,2.8,12.0,1.0,1.0,3.0,29.52,2.8,1.0,2.0,0.0,2.8,1.0,1.0,357.0,40.3,6.65
ANXA1,14.16,3.0,3.0,3.0,8.0,120.94,14.16,3.0,4.0,10.35,14.16,3.0,4.0,346.0,38.7,7.02
ANXA2,20.26,25.0,3.0,3.0,7.0,80.98,12.33,2.0,3.0,4.12,20.26,3.0,4.0,227.0,25.3,5.97
ANXA6,3.48,4.0,1.0,1.0,4.0,70.3,3.48,1.0,2.0,0.0,3.48,1.0,2.0,460.0,51.7,6.05
AP1B1,16.0,9.0,2.0,15.0,66.0,424.48,16.0,15.0,33.0,39.56,15.34,14.0,33.0,919.0,101.3,5.11
AP1M1,15.1,5.0,3.0,3.0,4.0,45.91,15.1,3.0,3.0,1.95,3.99,1.0,1.0,351.0,40.2,7.2
AP2A1,31.73,5.0,17.0,25.0,99.0,695.29,31.73,25.0,51.0,68.72,30.68,24.0,48.0,955.0,105.3,7.66
AP2A2,37.91,12.0,19.0,27.0,121.0,986.56,35.14,26.0,62.0,85.46,37.91,26.0,59.0,939.0,103.9,6.96
AP2B1,31.27,11.0,15.0,28.0,123.0,966.85,31.27,28.0,60.0,82.3,30.63,27.0,63.0,937.0,104.5,5.38
AP2M1,44.8,9.0,17.0,17.0,75.0,477.04,44.8,17.0,41.0,49.53,38.34,15.0,34.0,433.0,49.4,9.54
AP3B2,4.9,4.0,4.0,4.0,12.0,53.14,4.9,4.0,6.0,3.47,4.9,4.0,6.0,1082.0,119.0,5.59
AP3D1,1.32,7.0,1.0,1.0,2.0,57.87,1.32,1.0,1.0,2.95,1.32,1.0,1.0,984.0,111.2,8.1
AP3M1,5.26,4.0,2.0,2.0,4.0,31.44,2.87,1.0,1.0,6.12,5.26,2.0,3.0,418.0,46.9,6.93
APC,2.59,5.0,4.0,4.0,9.0,56.94,1.71,3.0,4.0,1.81,2.59,4.0,5.0,2742.0,300.3,7.77
APC2,2.02,4.0,3.0,3.0,5.0,34.71,2.02,3.0,3.0,0.0,1.23,2.0,2.0,2029.0,213.7,9.38
APEX1,17.59,8.0,1.0,1.0,1.0,,,,,0.0,17.59,1.0,1.0,108.0,11.8,7.8
APMAP,10.03,3.0,3.0,3.0,5.0,0.0,10.03,3.0,3.0,0.0,6.57,2.0,2.0,289.0,32.1,5.85
APP,5.77,14.0,1.0,2.0,6.0,73.66,5.77,2.0,3.0,0.0,5.77,2.0,3.0,485.0,55.1,4.82
APP,18.93,1.0,1.0,2.0,5.0,63.6,18.93,2.0,3.0,0.0,6.43,1.0,2.0,280.0,31.9,5.54
ARCN1,2.35,2.0,1.0,1.0,2.0,50.34,2.35,1.0,1.0,2.03,2.35,1.0,1.0,511.0,57.2,6.21
ARFGEF1,1.57,3.0,1.0,1.0,1.0,,,,,0.0,1.57,1.0,1.0,702.0,80.5,7.25
ARHGAP21,12.26,8.0,15.0,16.0,44.0,575.07,12.26,16.0,23.0,34.19,11.04,14.0,21.0,1957.0,217.2,7.8
ARHGAP23,5.42,6.0,3.0,4.0,14.0,109.08,5.42,4.0,7.0,10.55,5.42,4.0,7.0,1144.0,125.6,8.68
ARHGAP33,3.21,5.0,3.0,3.0,9.0,58.34,3.21,3.0,5.0,0.0,1.96,2.0,4.0,1123.0,119.7,9.04
ARHGAP35,3.07,1.0,3.0,3.0,6.0,36.21,3.07,3.0,3.0,0.0,3.07,3.0,3.0,1499.0,170.4,6.64
ARHGAP39,3.69,2.0,3.0,3.0,6.0,85.51,3.69,3.0,3.0,5.78,3.69,3.0,3.0,1083.0,121.2,7.5
ARHGDIA,11.63,4.0,1.0,1.0,2.0,47.28,11.63,1.0,1.0,2.11,11.63,1.0,1.0,129.0,14.8,4.68
ARHGEF2,12.21,4.0,8.0,8.0,22.0,205.06,11.48,7.0,11.0,14.71,10.02,7.0,11.0,958.0,108.2,6.87
ARHGEF7,16.64,17.0,7.0,7.0,22.0,196.94,15.04,6.0,11.0,15.04,13.76,6.0,11.0,625.0,70.4,7.05
ARL8A,7.53,1.0,1.0,1.0,1.0,,,,,0.0,7.53,1.0,1.0,186.0,21.4,7.77
ARPC1A,10.54,3.0,3.0,3.0,12.0,98.25,10.54,3.0,6.0,6.95,10.54,3.0,6.0,370.0,41.5,8.18
ARPC2,7.67,1.0,2.0,2.0,4.0,30.81,7.67,2.0,2.0,2.02,7.67,2.0,2.0,300.0,34.3,7.36
ARPC4,16.81,8.0,2.0,2.0,4.0,50.69,16.81,2.0,2.0,4.38,16.81,2.0,2.0,113.0,13.0,9.51
ARPC5,7.95,2.0,1.0,1.0,4.0,29.73,7.95,1.0,2.0,3.55,7.95,1.0,2.0,151.0,16.3,5.67
ARVCF,17.69,4.0,10.0,10.0,25.0,220.65,13.55,7.0,11.0,10.59,17.69,10.0,14.0,893.0,96.8,7.05
ASAP1,1.89,3.0,1.0,1.0,2.0,20.12,1.89,1.0,1.0,0.0,1.89,1.0,1.0,950.0,105.2,7.4
ASNA1,2.59,1.0,1.0,1.0,4.0,26.83,2.59,1.0,2.0,0.0,2.59,1.0,2.0,348.0,38.8,4.91
ATAD3A,5.72,6.0,1.0,2.0,4.0,46.35,5.72,2.0,2.0,3.14,5.72,2.0,2.0,507.0,57.9,9.25
ATAD3B,4.78,3.0,1.0,2.0,3.0,38.13,1.23,1.0,1.0,0.0,4.78,2.0,2.0,648.0,72.5,9.2
ATAT1,26.0,7.0,6.0,6.0,24.0,118.13,23.33,5.0,11.0,9.64,26.0,6.0,13.0,300.0,34.0,9.95
ATG9A,7.79,3.0,1.0,1.0,1.0,24.84,7.79,1.0,1.0,,,,,244.0,26.7,6.8
ATP10D,7.59,2.0,1.0,1.0,1.0,,,,,0.0,7.59,1.0,1.0,224.0,24.5,5.11
ATP1A1,18.25,6.0,5.0,15.0,55.0,583.48,17.14,14.0,28.0,43.97,18.25,14.0,27.0,992.0,109.5,5.31
ATP1A3,26.04,14.0,10.0,20.0,77.0,754.54,24.92,19.0,39.0,66.32,24.52,18.0,38.0,983.0,108.2,5.27
ATP1B1,22.67,4.0,5.0,5.0,21.0,154.58,22.67,5.0,13.0,14.01,21.05,4.0,8.0,247.0,28.6,7.59
ATP1B2,10.0,2.0,2.0,2.0,4.0,45.1,10.0,2.0,3.0,2.95,6.21,1.0,1.0,290.0,33.3,8.31
ATP1B3,14.34,7.0,3.0,3.0,8.0,39.49,14.34,3.0,4.0,2.41,14.34,3.0,4.0,279.0,31.5,8.35
ATP2A2,8.02,17.0,7.0,7.0,17.0,78.27,8.02,6.0,8.0,3.7,8.02,7.0,9.0,997.0,109.6,5.36
ATP2B1,3.12,33.0,2.0,2.0,6.0,67.39,3.12,2.0,3.0,5.09,3.12,2.0,3.0,963.0,106.8,6.87
ATP5A1,49.91,9.0,27.0,27.0,142.0,1592.24,49.91,26.0,70.0,150.93,48.82,26.0,72.0,553.0,59.7,9.13
ATP5B,53.5,7.0,20.0,20.0,243.0,2707.14,53.5,20.0,123.0,239.71,53.5,19.0,120.0,529.0,56.5,5.4
ATP5C1,13.2,3.0,3.0,3.0,12.0,82.56,13.2,3.0,6.0,8.0,13.2,3.0,6.0,250.0,27.5,7.42
ATP5H,20.99,3.0,1.0,1.0,2.0,35.06,20.99,1.0,1.0,0.0,20.99,1.0,1.0,81.0,8.9,9.36
ATP5O,20.19,3.0,4.0,4.0,11.0,173.82,20.19,4.0,6.0,9.99,19.72,3.0,5.0,213.0,23.3,9.96
ATP6V0A1,14.32,12.0,10.0,10.0,32.0,184.87,14.32,10.0,17.0,21.79,14.2,9.0,15.0,831.0,95.7,6.65
ATP6V0D1,20.26,4.0,5.0,5.0,10.0,62.41,20.26,4.0,5.0,8.26,20.26,5.0,5.0,232.0,26.8,4.94
ATP6V1A,37.33,4.0,15.0,15.0,59.0,371.6,35.79,14.0,29.0,35.21,31.34,12.0,30.0,584.0,64.7,5.66
ATP6V1B2,29.94,8.0,14.0,14.0,38.0,470.53,29.35,13.0,19.0,31.97,29.75,13.0,19.0,511.0,56.5,5.81
ATP6V1D,7.43,4.0,1.0,1.0,2.0,26.93,7.43,1.0,1.0,0.0,7.43,1.0,1.0,148.0,17.4,9.52
ATP6V1E1,12.81,3.0,3.0,3.0,7.0,55.44,12.81,3.0,4.0,3.24,6.9,1.0,3.0,203.0,23.5,9.04
ATP6V1G2,27.27,4.0,1.0,1.0,6.0,24.16,27.27,1.0,3.0,0.0,27.27,1.0,3.0,77.0,9.0,9.04
ATP6V1H,20.0,7.0,7.0,7.0,13.0,146.09,17.63,6.0,6.0,11.18,20.0,7.0,7.0,465.0,54.1,6.48
ATP8B4,3.35,2.0,1.0,1.0,1.0,,,,,0.0,3.35,1.0,1.0,717.0,81.9,5.39
ATP9A,1.05,1.0,1.0,1.0,4.0,60.44,1.05,1.0,2.0,4.32,1.05,1.0,2.0,1047.0,118.5,7.77
ATXN10,8.63,3.0,1.0,1.0,4.0,41.23,8.63,1.0,2.0,2.01,8.63,1.0,2.0,197.0,21.8,5.06
ATXN2L,4.65,8.0,2.0,2.0,3.0,30.75,2.38,1.0,1.0,4.1,4.65,2.0,2.0,968.0,102.8,8.63
AVIL,2.46,2.0,1.0,1.0,1.0,,,,,0.0,2.46,1.0,1.0,812.0,91.1,5.81
BAG6,3.64,7.0,3.0,3.0,8.0,103.95,3.64,3.0,4.0,4.48,3.64,3.0,4.0,1126.0,118.6,5.6
BAIAP2,20.77,11.0,1.0,1.0,4.0,57.71,20.77,1.0,2.0,5.03,20.77,1.0,2.0,130.0,13.6,9.35
BASP1,85.9,2.0,21.0,21.0,172.0,1800.34,85.9,21.0,86.0,213.97,85.9,20.0,86.0,227.0,22.7,4.63
BAZ1B,2.77,2.0,3.0,3.0,6.0,86.9,2.77,3.0,3.0,2.43,2.77,3.0,3.0,1479.0,170.3,8.48
BCL11B,2.14,3.0,1.0,1.0,1.0,,,,,0.0,2.14,1.0,1.0,700.0,75.3,7.58
BCR,10.02,4.0,7.0,7.0,24.0,181.68,10.02,7.0,12.0,7.54,10.02,7.0,12.0,1227.0,137.6,7.21
BICD2,1.94,2.0,1.0,1.0,2.0,,,,,0.0,1.94,1.0,2.0,824.0,93.5,5.44
BIN1,1.98,3.0,1.0,1.0,4.0,30.99,1.98,1.0,2.0,0.0,1.98,1.0,2.0,506.0,55.1,5.17
BOLA1,12.41,1.0,1.0,1.0,1.0,,,,,2.38,12.41,1.0,1.0,137.0,14.3,7.96
BRSK1,3.59,3.0,1.0,1.0,2.0,34.91,3.59,1.0,1.0,2.24,3.59,1.0,1.0,473.0,50.7,10.04
BRSK2,6.5,8.0,1.0,1.0,1.0,,,,,1.85,6.5,1.0,1.0,200.0,22.1,9.5
BSG,6.69,4.0,1.0,1.0,2.0,0.0,6.69,1.0,1.0,0.0,6.69,1.0,1.0,269.0,29.2,5.64
BUB3,2.82,4.0,1.0,1.0,2.0,0.0,2.82,1.0,1.0,0.0,2.82,1.0,1.0,248.0,28.2,7.11
C22orf28,7.13,2.0,3.0,3.0,6.0,68.17,7.13,3.0,3.0,3.49,7.13,3.0,3.0,505.0,55.2,7.23
C2CD2L,6.65,3.0,1.0,1.0,2.0,24.04,6.65,1.0,1.0,2.06,6.65,1.0,1.0,391.0,41.3,5.52
C3orf49,4.45,1.0,1.0,1.0,1.0,,,,,0.0,4.45,1.0,1.0,292.0,33.4,10.18
C3orf70,8.8,1.0,1.0,1.0,1.0,,,,,0.0,8.8,1.0,1.0,250.0,27.8,4.96
CACNA1E,2.24,7.0,2.0,2.0,3.0,31.14,0.85,1.0,1.0,2.13,2.24,2.0,2.0,1877.0,212.8,8.15
CACNA2D1,32.14,8.0,32.0,32.0,205.0,2043.38,32.14,32.0,102.0,173.27,32.14,32.0,103.0,1086.0,122.6,5.22
CACNA2D2,1.49,9.0,1.0,1.0,1.0,,,,,0.0,1.49,1.0,1.0,1076.0,122.0,5.38
CACNA2D3,3.47,4.0,1.0,1.0,1.0,,,,,0.0,3.47,1.0,1.0,519.0,59.5,5.87
CACNB1,4.18,3.0,1.0,1.0,1.0,,,,,0.0,4.18,1.0,1.0,478.0,53.0,9.19
CACNB3,16.39,7.0,1.0,1.0,1.0,,,,,0.0,16.39,1.0,1.0,122.0,13.5,9.99
CAD,2.13,4.0,4.0,4.0,7.0,62.9,2.13,4.0,4.0,0.0,1.62,3.0,3.0,2162.0,235.9,6.55
CADM2,8.17,3.0,2.0,2.0,3.0,,,,,2.0,8.17,2.0,3.0,404.0,44.4,5.64
CADM3,5.11,3.0,1.0,1.0,6.0,37.42,5.11,1.0,3.0,2.32,5.11,1.0,3.0,352.0,38.3,5.96
CADM4,4.38,1.0,1.0,1.0,1.0,,,,,0.0,4.38,1.0,1.0,388.0,42.8,6.3
CALM1,16.33,6.0,1.0,1.0,4.0,68.06,16.33,1.0,2.0,2.53,16.33,1.0,2.0,98.0,11.1,4.25
CALR,10.93,2.0,2.0,2.0,4.0,22.42,10.93,2.0,2.0,2.16,10.93,2.0,2.0,247.0,28.4,4.68
CAMK2A,16.53,6.0,2.0,7.0,48.0,509.77,16.53,7.0,24.0,36.73,16.53,7.0,24.0,478.0,54.1,7.08
CAMK2B,41.39,18.0,9.0,16.0,98.0,975.93,41.39,16.0,48.0,77.86,41.39,16.0,50.0,517.0,57.9,7.28
CAMK2D,23.85,19.0,4.0,9.0,58.0,588.76,23.85,9.0,29.0,44.61,23.85,9.0,29.0,478.0,54.1,7.12
CAMK2G,32.99,12.0,1.0,14.0,75.0,669.19,31.12,13.0,37.0,48.36,32.99,14.0,38.0,588.0,65.2,7.94
CAMK2G,37.02,12.0,1.0,14.0,75.0,643.15,34.88,13.0,37.0,45.65,37.02,14.0,38.0,516.0,57.8,7.3
CAMKV,21.49,9.0,6.0,6.0,15.0,68.39,21.49,6.0,9.0,0.0,19.15,5.0,6.0,470.0,51.7,5.63
CAMLG,10.0,2.0,1.0,1.0,3.0,24.01,10.0,1.0,2.0,0.0,10.0,1.0,1.0,80.0,8.8,9.99
CAMSAP1,4.91,3.0,4.0,4.0,12.0,82.4,4.91,4.0,6.0,3.73,4.91,4.0,6.0,1324.0,146.5,6.89
CAMSAP3,27.35,2.0,20.0,20.0,52.0,278.03,24.69,17.0,25.0,29.31,26.49,19.0,27.0,1276.0,137.8,8.5
CAND1,14.8,8.0,14.0,14.0,36.0,203.69,13.09,12.0,17.0,20.42,13.98,13.0,19.0,1230.0,136.3,5.78
CANX,10.14,8.0,4.0,4.0,8.0,0.0,6.59,3.0,3.0,2.32,10.14,4.0,5.0,592.0,67.5,4.6
CAP1,25.53,10.0,9.0,9.0,33.0,327.77,20.25,8.0,16.0,18.53,25.53,9.0,17.0,474.0,51.8,8.06
CAP2,17.4,6.0,5.0,5.0,12.0,141.25,17.4,5.0,6.0,9.87,17.4,5.0,6.0,477.0,52.8,6.37
CAPN1,1.4,1.0,1.0,1.0,1.0,,,,,0.0,1.4,1.0,1.0,714.0,81.8,5.67
CAPN5,4.53,2.0,2.0,2.0,3.0,29.5,4.53,2.0,2.0,0.0,2.97,1.0,1.0,640.0,73.1,7.64
CAPRIN1,36.52,5.0,3.0,3.0,10.0,106.6,36.52,3.0,5.0,6.33,36.52,3.0,5.0,178.0,19.4,9.28
CAPZA1,21.68,1.0,3.0,4.0,12.0,153.54,21.68,4.0,6.0,5.43,21.68,4.0,6.0,286.0,32.9,5.69
CAPZA2,31.12,4.0,5.0,6.0,32.0,314.05,31.12,6.0,16.0,27.28,31.12,6.0,16.0,286.0,32.9,5.85
CAPZB,45.0,7.0,8.0,8.0,33.0,162.54,45.0,8.0,17.0,16.35,45.0,8.0,16.0,260.0,29.3,6.92
CASK,8.36,11.0,6.0,6.0,11.0,58.93,5.13,4.0,4.0,4.22,8.36,6.0,7.0,897.0,102.0,6.35
CASKIN1,1.33,1.0,1.0,1.0,1.0,,,,,0.0,1.33,1.0,1.0,1431.0,149.7,9.14
CBFA2T2,4.17,4.0,1.0,1.0,1.0,,,,,0.0,4.17,1.0,1.0,575.0,63.9,7.69
CCDC177,1.7,1.0,1.0,1.0,2.0,24.62,1.7,1.0,1.0,0.0,1.7,1.0,1.0,707.0,79.7,10.74
CCDC6,4.01,1.0,1.0,1.0,2.0,29.3,4.01,1.0,1.0,0.0,4.01,1.0,1.0,474.0,53.3,7.34
CCDC88A,8.3,10.0,10.0,10.0,21.0,195.78,6.96,8.0,10.0,13.03,7.68,9.0,11.0,1796.0,207.7,5.97
CCNY,16.03,6.0,2.0,4.0,8.0,64.66,16.03,4.0,4.0,3.64,16.03,4.0,4.0,287.0,33.2,7.74
CCNYL1,10.73,7.0,1.0,3.0,6.0,57.52,10.73,3.0,3.0,1.66,10.73,3.0,3.0,289.0,33.4,6.93
CCSAP,12.18,2.0,1.0,1.0,1.0,,,,,0.0,12.18,1.0,1.0,156.0,17.8,10.13
CCT2,45.42,4.0,18.0,18.0,102.0,1290.0,45.42,18.0,52.0,97.73,45.42,18.0,50.0,535.0,57.5,6.46
CCT3,40.0,8.0,18.0,18.0,83.0,554.08,38.6,17.0,41.0,61.25,37.8,17.0,42.0,500.0,55.6,5.64
CCT4,56.73,4.0,21.0,22.0,102.0,703.12,53.83,20.0,50.0,65.67,56.73,22.0,52.0,483.0,52.3,6.57
CCT5,31.41,5.0,13.0,14.0,64.0,312.78,30.02,13.0,30.0,28.49,31.41,14.0,34.0,503.0,55.3,5.48
CCT6A,37.85,3.0,17.0,17.0,54.0,490.96,34.27,15.0,27.0,35.71,36.53,15.0,27.0,531.0,58.0,6.68
CCT7,46.96,8.0,19.0,19.0,76.0,535.61,42.54,17.0,36.0,43.55,46.96,19.0,40.0,543.0,59.3,7.65
CCT8,37.23,5.0,16.0,16.0,61.0,658.97,37.04,15.0,30.0,58.54,37.23,16.0,31.0,548.0,59.6,5.6
CD59,25.0,4.0,2.0,2.0,4.0,29.36,25.0,2.0,2.0,0.0,25.0,2.0,2.0,52.0,5.9,5.87
CDC37,11.96,2.0,1.0,1.0,1.0,,,,,0.0,11.96,1.0,1.0,184.0,21.1,5.11
CDC42,29.84,3.0,2.0,4.0,10.0,49.79,29.84,4.0,6.0,0.0,21.47,3.0,4.0,191.0,21.2,6.55
CDC42,19.37,2.0,1.0,3.0,7.0,36.11,19.37,3.0,4.0,1.86,10.99,2.0,3.0,191.0,21.3,6.04
CDC42BPB,6.2,23.0,7.0,7.0,16.0,70.87,6.2,7.0,8.0,1.82,6.2,7.0,8.0,1711.0,194.2,6.37
CDC42EP4,5.59,2.0,1.0,1.0,2.0,24.86,5.59,1.0,1.0,0.0,5.59,1.0,1.0,286.0,30.2,4.97
CDC5L,1.25,1.0,1.0,1.0,2.0,28.64,1.25,1.0,1.0,1.84,1.25,1.0,1.0,802.0,92.2,8.18
