Index,Gene,Known Functions,Signaling,Transport,Organization,Metabolism,Development
10,LRFN1,"['cell surface', 'regulation of postsynaptic density assembly', 'integral component of postsynaptic density membrane', 'cell junction']",0,0,2,0,0
11,KIF26B,"['microtubule binding', 'microtubule motor activity', 'microtubule', 'cytoplasm', 'ATP binding', 'positive regulation of cell-cell adhesion', 'establishment of cell polarity', 'ureteric bud invasion', 'kinesin complex']",0,0,2,1,0
12,PRKCA,"['cytosol', 'regulation of insulin secretion', 'endoplasmic reticulum', 'positive regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway', 'positive regulation of endothelial cell proliferation', 'perinuclear region of cytoplasm', 'positive regulation of angiogenesis', 'integrin binding', 'desmosome assembly', 'enzyme binding', 'positive regulation of dense core granule biogenesis', 'positive regulation of bone resorption', 'positive regulation of ERK1 and ERK2 cascade', 'mitotic nuclear envelope disassembly', 'ATP binding', 'mitochondrial membrane', 'regulation of mRNA stability', 'response to interleukin-1', 'positive regulation of lipopolysaccharide-mediated signaling pathway', 'extracellular exosome', 'regulation of platelet aggregation', 'positive regulation of cell adhesion', 'histone H3-T6 phosphorylation', 'peptidyl-serine phosphorylation', 'protein kinase C activity', 'zinc ion binding', 'nucleoplasm', 'ERBB2 signaling pathway', 'axon guidance', 'histone kinase activity (H3-T6 specific)', 'positive regulation of cardiac muscle hypertrophy', 'positive regulation of mitotic cell cycle', 'negative regulation of glial cell apoptotic process', 'alphav-beta3 integrin-PKCalpha complex', 'positive regulation of blood vessel endothelial cell migration', 'apoptotic signaling pathway', 'positive regulation of macrophage differentiation']",3,0,2,3,1
13,UBE2D3,"['cytosol', 'protein monoubiquitination', 'DNA repair', 'BMP signaling pathway', 'negative regulation of transcription by RNA polymerase II', 'proteasome-mediated ubiquitin-dependent protein catabolic process', 'positive regulation of protein targeting to mitochondrion', 'protein targeting to peroxisome', 'protein K48-linked ubiquitination', 'ATP binding', 'ubiquitin protein ligase binding', 'ubiquitin conjugating enzyme activity', 'protein K11-linked ubiquitination', 'extracellular exosome', 'endosome membrane', 'protein autoubiquitination', 'nucleoplasm', 'cellular response to cadmium ion', 'cellular response to mercury ion', 'TRIF-dependent toll-like receptor signaling pathway', 'ubiquitin ligase complex', 'plasma membrane', 'apoptotic process']",2,0,0,4,0
14,CNTN1,"['protein binding', 'cerebellum development', 'extracellular exosome', 'carbohydrate binding', 'Notch signaling pathway', 'positive regulation of peptidyl-tyrosine phosphorylation', 'cell adhesion', 'positive regulation of gene expression', 'membrane raft', 'positive regulation of sodium ion transport', 'positive regulation of neuron projection development', 'anchored component of presynaptic membrane', 'anchored component of postsynaptic membrane']",2,1,1,1,1
15,PCMT1,"['cytosol', 'protein methylation', 'protein-L-isoaspartate (D-aspartate) O-methyltransferase activity', 'extracellular exosome', 'cadherin binding', 'protein repair']",0,0,0,1,0
16,SLC6A15,"['neurotransmitter:sodium symporter activity', 'neurotransmitter transport', 'sodium ion transport', 'proline transport', 'leucine transport', 'amino acid transmembrane transport', 'proline:sodium symporter activity', 'integral component of plasma membrane']",1,1,0,0,0
17,ACTR1B,"['protein binding', 'ficolin-1-rich granule lumen', 'cytosol', 'centrosome', 'extracellular exosome', 'neutrophil degranulation', 'secretory granule lumen', 'membrane', 'ATP binding', 'antigen processing and presentation of exogenous peptide antigen via MHC class II', 'dynactin complex']",0,0,0,2,0
18,SNAP25,"['exocytic insertion of neurotransmitter receptor to postsynaptic membrane', 'regulation of neuron projection development', 'regulation of insulin secretion', 'glutamate secretion', 'synaptic vesicle', 'perinuclear region of cytoplasm', 'calcium-dependent protein binding', 'locomotory behavior', 'potassium ion transmembrane transport', 'BLOC-1 complex', 'associative learning', 'extrinsic component of cytoplasmic side of plasma membrane', 'synaptic vesicle priming', 'specific granule membrane', 'long-term synaptic potentiation', 'SNAP receptor activity', 'neurotransmitter uptake', 'growth cone', 'presynaptic membrane', 'neutrophil degranulation', 'voltage-gated potassium channel activity', 'glutamatergic synapse', 'neurotransmitter receptor internalization', 'synaptic vesicle fusion to presynaptic active zone membrane', 'trans-Golgi network', 'tertiary granule membrane', 'voltage-gated potassium channel complex', 'somatodendritic compartment', 'postsynapse', 'cytoskeleton', 'cell junction', 'synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex', 'synaptic vesicle docking', 'syntaxin-1 binding']",2,1,2,1,1
19,RPS14,"['erythrocyte differentiation', 'SRP-dependent cotranslational protein targeting to membrane', 'translational initiation', 'negative regulation of transcription by RNA polymerase II', 'translation regulator activity', 'structural constituent of ribosome', 'viral transcription', 'protein binding', 'extracellular exosome', 'maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)', 'small ribosomal subunit rRNA binding', 'regulation of translation', 'cytosolic small ribosomal subunit', ""mRNA 5'-UTR binding"", 'focal adhesion', 'postsynaptic density', 'nuclear-transcribed mRNA catabolic process, nonsense-mediated decay', 'nucleoplasm', 'nucleolus', 'ribosomal small subunit assembly', 'membrane']",0,0,2,3,0
20,CRMP1,"['midbody', 'cytosol', 'centrosome', 'spindle', 'negative regulation of actin filament binding', 'nucleobase-containing compound metabolic process', 'axon guidance', 'hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds', 'microtubule cytoskeleton organization', 'nucleus', 'filamin binding', 'negative regulation of neuron projection development']",0,0,3,3,1
21,RAB22A,"['protein binding', 'late endosome', 'GTPase activity', 'GDP binding', 'phagocytic vesicle membrane', 'early endosome', 'ruffle', 'extracellular exosome', 'regulation of vesicle size', 'Rab protein signal transduction', 'plasma membrane', 'actin cytoskeleton', 'intracellular protein transport', 'endocytosis', 'endosome organization', 'endosome membrane', 'GTP binding']",2,1,2,1,0
22,PRPSAP2,"['protein binding', '5-phosphoribose 1-diphosphate biosynthetic process', 'cytoplasm', 'bone development', 'enzyme inhibitor activity', 'magnesium ion binding', 'nucleoside metabolic process', 'negative regulation of catalytic activity', 'purine nucleotide biosynthetic process', 'ribose phosphate diphosphokinase complex', 'ribose phosphate diphosphokinase activity']",0,0,0,3,1
23,TSPYL4,"['protein binding', 'nucleus', 'nucleosome assembly']",0,0,1,1,0
24,TPI1,"['protein homodimerization activity', 'cytosol', 'glycerol catabolic process', 'gluconeogenesis', 'extracellular exosome', 'triose-phosphate isomerase activity', 'glyceraldehyde-3-phosphate biosynthetic process', 'methylglyoxal biosynthetic process', 'nucleus', 'methylglyoxal synthase activity', 'ubiquitin protein ligase binding', 'multicellular organism development', 'canonical glycolysis']",0,0,1,3,2
25,FBXW11,"['cytosol', 'T cell receptor signaling pathway', 'stimulatory C-type lectin receptor signaling pathway', 'G2/M transition of mitotic cell cycle', 'protein dephosphorylation', 'interleukin-1-mediated signaling pathway', 'protein dimerization activity', 'stress-activated MAPK cascade', 'protein polyubiquitination', 'negative regulation of transcription, DNA-templated', 'protein destabilization', 'post-translational protein modification', 'positive regulation of transcription, DNA-templated', 'Wnt signaling pathway', 'positive regulation of circadian rhythm', 'negative regulation of NIK/NF-kappaB signaling', 'ubiquitin protein ligase activity', 'centrosome', 'SCF-dependent proteasomal ubiquitin-dependent protein catabolic process', 'nucleus', 'SCF ubiquitin ligase complex', 'Fc-epsilon receptor signaling pathway', 'positive regulation of proteolysis']",2,0,0,3,0
26,SPIN3,"['methylated histone binding', 'cytosol', 'gamete generation', 'nucleoplasm']",0,0,0,1,1
27,SNPH,"['cytoplasmic microtubule', 'presynaptic membrane', 'integral component of membrane', 'mitochondrial membrane', 'brain development', 'neuron projection', 'neuronal cell body', 'cell junction', 'neuron differentiation', 'synaptic vesicle docking', 'syntaxin-1 binding']",0,0,2,2,1
28,CHD4,"['RNA polymerase II distal enhancer sequence-specific DNA binding', 'RNA polymerase II proximal promoter sequence-specific DNA binding', 'centrosome', 'zinc ion binding', 'nucleosomal DNA binding', 'ATP-dependent DNA helicase activity', 'histone deacetylase binding', 'cytoplasm', 'regulation of transcription by RNA polymerase II', 'ATP binding', 'membrane', 'NuRD complex', 'DNA duplex unwinding', 'regulation of signal transduction by p53 class mediator', 'RNA polymerase II repressing transcription factor binding', 'ATP-dependent chromatin remodeling']",2,0,0,1,0
29,AK5,"['cytosol', 'nucleobase-containing small molecule interconversion', 'nucleoside monophosphate phosphorylation', 'microtubule organizing center', 'pyrimidine ribonucleotide biosynthetic process', 'nucleoside diphosphate phosphorylation', 'ATP binding', 'nucleoside triphosphate biosynthetic process', 'ATP metabolic process', 'adenylate kinase activity', 'ADP biosynthetic process', 'dADP biosynthetic process', 'nucleoside diphosphate kinase activity']",1,0,2,3,0
30,EIF4E1B,"['translation initiation factor activity', 'RNA 7-methylguanosine cap binding', 'eukaryotic translation initiation factor 4F complex', 'mRNA cap binding complex', 'regulation of translation', 'translational initiation']",0,0,0,1,0
31,PCDH9,"['homophilic cell adhesion via plasma membrane adhesion molecules', 'growth cone', 'calcium ion binding', 'integral component of plasma membrane', 'cell-cell contact zone']",1,0,1,1,0
32,ANK3,"['cytosol', 'protein binding, bridging', 'Z disc', 'magnesium ion homeostasis', 'neuronal action potential', 'node of Ranvier', 'negative regulation of delayed rectifier potassium channel activity', 'membrane assembly', 'maintenance of protein location in plasma membrane', 'signal transduction', 'postsynaptic membrane', 'positive regulation of protein targeting to membrane', 'positive regulation of sodium ion transmembrane transporter activity', 'cytoskeletal anchoring at plasma membrane', 'protein localization to axon', 'Golgi apparatus', 'cadherin binding', 'positive regulation of gene expression', 'positive regulation of cation channel activity', 'cell surface', 'structural constituent of cytoskeleton', 'lysosome', 'T-tubule', 'positive regulation of membrane potential', 'Golgi to plasma membrane protein transport', 'basal plasma membrane', 'axonogenesis', 'mitotic cytokinesis', 'sarcoplasmic reticulum', 'positive regulation of homotypic cell-cell adhesion', 'costamere', 'bicellular tight junction', 'neuromuscular junction development', 'dendrite', 'spectrin-associated cytoskeleton', 'neuromuscular junction', 'ion channel binding', 'positive regulation of membrane depolarization during cardiac muscle cell action potential', 'lateral plasma membrane', 'intercalated disc', 'axon initial segment', 'positive regulation of cell communication by electrical coupling', 'plasma membrane organization', 'spectrin binding', 'endoplasmic reticulum to Golgi vesicle-mediated transport', 'cellular response to magnesium ion']",3,2,5,2,2
33,TRPM2,"['mono-ADP-D-ribose binding', 'regulation of actin cytoskeleton reorganization', 'calcium-mediated signaling using intracellular calcium source', 'lysosomal membrane', 'cellular response to calcium ion', 'perikaryon', 'ficolin-1-rich granule membrane', 'calcium ion binding', 'cellular response to hydrogen peroxide', 'integral component of plasma membrane', 'calcium ion import across plasma membrane', 'specific granule membrane', 'regulation of filopodium assembly', 'cellular response to temperature stimulus', 'temperature homeostasis', 'neutrophil degranulation', 'sodium ion transmembrane transport', 'release of sequestered calcium ion into cytosol', 'zinc ion transmembrane transport', 'protein homotetramerization', 'calcium-release channel activity', 'tertiary granule membrane', 'dendritic cell differentiation', 'cell projection', 'cellular response to purine-containing compound', 'dendritic cell chemotaxis', 'sodium channel activity']",3,1,3,1,0
34,DOK6,"['protein binding', 'cytosol', 'axon guidance']",0,0,0,1,0
35,KCNB2,"['voltage-gated potassium channel complex', 'perikaryon', 'potassium ion transmembrane transport', 'regulation of ion transmembrane transport', 'delayed rectifier potassium channel activity', 'dendrite', 'neuronal cell body membrane', 'protein localization to plasma membrane', 'protein heterodimerization activity', 'protein homooligomerization', 'regulation of smooth muscle contraction']",0,2,0,0,0
36,TOMM20,"['response to muscle activity', 'protein deubiquitination', 'P-P-bond-hydrolysis-driven protein transmembrane transporter activity', 'macroautophagy', 'mitochondrial outer membrane translocase complex', 'mitochondria-associated endoplasmic reticulum membrane', 'integral component of mitochondrial outer membrane', ""response to 3,3',5-triiodo-L-thyronine"", 'tRNA import into mitochondrion', 'protein import into mitochondrial matrix', 'mitochondrial outer membrane translocase complex assembly', 'unfolded protein binding', 'mitochondrion targeting sequence binding']",1,1,1,2,0
37,ARHGEF11,"['G protein-coupled receptor signaling pathway', 'cytosol', 'actin cytoskeleton organization', 'positive regulation of apoptotic process', 'Rho guanyl-nucleotide exchange factor activity', 'G protein-coupled receptor binding', 'striated muscle contraction', 'positive regulation of transcription, DNA-templated', 'membrane', 'regulation of cell growth', 'GTPase activator activity', 'regulation of Rho protein signal transduction', 'positive regulation of GTPase activity', 'establishment of cell polarity']",2,0,2,2,0
38,SMARCA4,"['RNA polymerase II distal enhancer sequence-specific DNA binding', 'positive regulation of glucose mediated signaling pathway', 'DNA polymerase binding', 'SWI/SNF complex', 'androgen receptor binding', 'positive regulation of Wnt signaling pathway', 'negative regulation of transcription by RNA polymerase II', 'ATP-dependent chromatin remodeling', 'positive regulation of pri-miRNA transcription by RNA polymerase II', 'npBAF complex', 'RNA polymerase I CORE element sequence-specific DNA binding', 'transcription corepressor activity', 'ATP binding', 'nBAF complex', 'positive regulation of DNA-binding transcription factor activity', 'neural retina development', 'negative regulation of cell growth', 'RNA polymerase II proximal promoter sequence-specific DNA binding', 'positive regulation by host of viral transcription', 'RNA polymerase I preinitiation complex assembly', 'positive regulation of transcription of nucleolar large rRNA by RNA polymerase I', 'nervous system development', 'extracellular space', 'beta-catenin-TCF complex assembly', 'nucleosomal DNA binding', 'interleukin-7-mediated signaling pathway', 'RNA binding', 'protein N-terminus binding', 'DNA-dependent ATPase activity', 'transcription coactivator activity', 'nucleoplasm', 'nucleolus', 'p53 binding', 'helicase activity', 'membrane', 'lysine-acetylated histone binding', 'Tat protein binding', 'nucleosome disassembly', 'negative regulation of androgen receptor signaling pathway']",1,0,1,1,1
39,FSCN1,"['cytosol', 'protein binding, bridging', 'cell-cell junction', 'ruffle', 'microvillus', 'microspike assembly', 'actin filament bundle assembly', 'positive regulation of extracellular matrix disassembly', 'regulation of actin cytoskeleton organization', 'positive regulation of podosome assembly', 'cell migration', 'cytokine-mediated signaling pathway', 'cadherin binding', 'lamellipodium', 'cell population proliferation', 'regulation of microvillus assembly', 'podosome', 'growth cone', 'extracellular exosome', 'filopodium', 'microspike', 'RNA binding', 'establishment of apical/basal cell polarity', 'cell-cell junction assembly', 'cell projection membrane', 'stress fiber', 'positive regulation of lamellipodium assembly', 'actin filament binding', 'drug binding', 'invadopodium', 'positive regulation of filopodium assembly']",1,0,4,1,0
40,FOXE1,"['sequence-specific DNA binding', 'cell migration', 'thyroid hormone generation', 'hard palate development', 'thyroid gland development', 'embryonic organ morphogenesis', 'cell differentiation', 'soft palate development', 'hair follicle morphogenesis', 'DNA-binding transcription factor activity, RNA polymerase II-specific', 'nucleus', 'pharynx development', 'cranial skeletal system development', 'positive regulation of transcription, DNA-templated', 'thymus development', 'negative regulation of transcription by RNA polymerase II']",0,0,1,1,3
41,G3BP1,"['protein binding', 'cytosol', 'perikaryon', 'negative regulation of canonical Wnt signaling pathway', 'DNA binding', 'Ras protein signal transduction', 'cytoplasmic stress granule', 'nucleic acid phosphodiester bond hydrolysis', 'ATP-dependent RNA helicase activity', 'ATP-dependent DNA helicase activity', 'ATP binding', 'nucleus', 'DNA duplex unwinding', 'stress granule assembly', 'focal adhesion', 'mRNA binding', 'endonuclease activity']",2,0,2,1,0
42,MAGED1,"['transcription coactivator activity', 'protein-containing complex', 'circadian regulation of gene expression', 'negative regulation of epithelial cell proliferation', 'chromatin', 'regulation of circadian rhythm', 'positive regulation of MAP kinase activity', 'cytoplasm', 'plasma membrane', 'regulation of transcription by RNA polymerase II', 'negative regulation of transcription, DNA-templated', 'nucleus', 'identical protein binding', 'positive regulation of branching involved in ureteric bud morphogenesis', 'positive regulation of apoptotic signaling pathway', 'positive regulation of transcription, DNA-templated']",1,0,0,1,1
43,KCNC4,"['voltage-gated potassium channel complex', 'dendrite membrane', 'potassium ion transmembrane transport', 'regulation of ion transmembrane transport', 'delayed rectifier potassium channel activity', 'neuronal cell body membrane', 'neuromuscular junction', 'axon terminus', 'regulation of neurotransmitter secretion', 'protein homooligomerization']",1,1,1,0,0
44,NCEH1,"['low-density lipoprotein particle clearance', 'lipid catabolic process', 'integral component of membrane', 'endoplasmic reticulum membrane', 'sterol esterase activity']",0,0,0,2,0
45,ARL8B,"['anterograde axonal transport', 'lysosomal membrane', 'protein transport', 'midbody', 'alpha-tubulin binding', 'beta-tubulin binding', 'spindle midzone', 'GTPase activity', 'GDP binding', 'extracellular exosome', 'chromosome segregation', 'cell cycle', 'synapse', 'cell junction', 'lysosome localization', 'axon cytoplasm', 'cell division', 'GTP binding', 'late endosome membrane']",0,2,1,1,0
46,MGAT3,"['positive regulation of protein localization to early endosome', 'negative regulation of lysosomal protein catabolic process', 'Golgi membrane', 'beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity', 'regulation of cell migration', 'integral component of membrane', 'N-acetylglucosamine metabolic process', 'cognition', 'cellular response to oxidative stress', 'amyloid-beta metabolic process', 'protein N-linked glycosylation']",1,1,0,3,0
47,BAG6,"['natural killer cell activation', 'BAT3 complex', 'cell differentiation', 'synaptonemal complex assembly', 'regulation of embryonic development', 'regulation of cell population proliferation', 'intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress', 'chromatin organization', 'lung development', 'Hsp70 protein binding', 'ER-associated misfolded protein catabolic process', 'maintenance of unfolded protein involved in ERAD pathway', 'polyubiquitin modification-dependent protein binding', 'brain development', 'negative regulation of apoptotic process', 'ubiquitin protein ligase binding', 'kidney development', 'ribosome binding', 'negative regulation of proteasomal ubiquitin-dependent protein catabolic process', 'internal peptidyl-lysine acetylation', 'proteasome binding', 'endoplasmic reticulum stress-induced pre-emptive quality control', 'ubiquitin-specific protease binding', 'extracellular exosome', 'positive regulation of ERAD pathway', 'intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator', 'tail-anchored membrane protein insertion into ER membrane', 'protein localization to cytosolic proteasome complex involved in ERAD pathway', 'protein stabilization', 'misfolded protein binding', 'spermatogenesis', 'immune response-activating cell surface receptor signaling pathway', 'nucleoplasm', 'ubiquitin-dependent ERAD pathway', 'membrane', 'signaling receptor binding']",2,1,2,3,2
48,HNRNPM,"['fibroblast growth factor receptor signaling pathway', 'nucleolus', 'collagen-containing extracellular matrix', 'alternative mRNA splicing, via spliceosome', 'paraspeckles', 'nuclear matrix', 'extracellular exosome', 'cytoplasm', 'membrane', 'catalytic step 2 spliceosome', 'post-mRNA release spliceosomal complex', 'regulation of mRNA stability involved in response to oxidative stress', 'mRNA binding', 'protein domain specific binding']",2,0,0,1,0
49,DPP6,"['voltage-gated potassium channel complex', 'regulation of potassium ion transmembrane transport', 'proteolysis', 'protein localization to plasma membrane', 'serine-type peptidase activity', 'potassium channel regulator activity']",0,2,0,0,0
50,DNAJC7,"['cytosol', 'nucleoplasm', 'extracellular exosome', 'membrane', 'chaperone cofactor-dependent protein refolding', 'cytoskeleton', 'regulation of cellular response to heat', 'heat shock protein binding']",1,0,1,1,0
51,SNN,"['metal ion binding', 'integral component of membrane', 'response to toxic substance', 'mitochondrial outer membrane']",1,0,0,2,0
52,AP2B1,"['cytosol', 'low-density lipoprotein particle clearance', 'AP-2 adaptor complex', 'signal sequence binding', 'clathrin adaptor activity', 'positive regulation of endocytosis', 'clathrin-dependent endocytosis', 'ephrin receptor signaling pathway', 'positive regulation of protein localization to membrane', 'ventricular septum development', 'Wnt signaling pathway, planar cell polarity pathway', 'postsynaptic neurotransmitter receptor internalization', 'low-density lipoprotein particle receptor catabolic process', 'clathrin coat assembly', 'regulation of defense response to virus by virus', 'coronary vasculature development', 'glutamatergic synapse', 'aorta development', 'negative regulation of neuron death', 'postsynapse', 'antigen processing and presentation of exogenous peptide antigen via MHC class II', 'endolysosome membrane', 'protein-containing complex binding']",3,1,1,3,1
53,ASTN2,"['protein transport', 'cell pole', 'perikaryon', 'late endosome', 'negative regulation of protein localization to cell surface', 'early endosome', 'integral component of membrane', 'establishment of body hair planar orientation', 'calcium ion binding', 'inositol 1,3,4,5 tetrakisphosphate binding', 'clathrin-coated vesicle', 'cell cortex']",1,2,0,1,0
54,RAP1GDS1,"['protein binding', 'cytosol', 'extracellular exosome', 'endoplasmic reticulum', 'myosin filament assembly', 'negative regulation of endoplasmic reticulum calcium ion concentration', 'vascular smooth muscle contraction', 'mitochondrion', 'GTPase activator activity', 'positive regulation of mitochondrial calcium ion concentration', 'positive regulation of GTPase activity']",1,0,1,2,0
55,ATCAY,"['mitochondrion distribution', 'negative regulation of glutamate metabolic process', 'exopolyphosphatase activity', 'regulation of protein localization', 'neuron projection terminus', 'dendrite', 'axon', 'mitochondrial membrane', 'perinuclear region of cytoplasm', 'synapse', 'kinesin binding', 'neuron projection development', 'cell junction', 'polyphosphate catabolic process', 'apoptotic process']",0,1,1,5,1
56,SSX2IP,"['protein-containing complex', 'ciliary basal body', 'cell-cell adherens junction', 'intraciliary transport involved in cilium assembly', 'cell adhesion', 'nucleus', 'cell leading edge', 'centriolar satellite', 'centrosome cycle', 'regulation of cell motility', 'protein domain specific binding', 'regulation of Rac protein signal transduction']",2,1,3,1,0
57,GDAP1,"['cellular response to vitamin D', 'cytosol', 'protein targeting to mitochondrion', 'mitochondrial fusion', 'response to retinoic acid', 'integral component of mitochondrial outer membrane', 'nucleus', 'mitochondrial fission']",1,0,0,1,0
58,CLTA,"['cytosol', 'spindle', 'low-density lipoprotein particle clearance', 'presynaptic endocytic zone membrane', 'clathrin heavy chain binding', 'cell cycle', 'clathrin complex', 'peptide binding', 'clathrin-dependent endocytosis', 'postsynaptic endocytic zone cytoplasmic component', 'clathrin-coated endocytic vesicle', 'membrane organization', 'clathrin coat of coated pit', 'synaptic vesicle membrane', 'GTPase binding', 'intracellular protein transport', 'low-density lipoprotein particle receptor catabolic process', 'clathrin coat assembly', 'trans-Golgi network membrane', 'cell division', 'structural molecule activity', 'clathrin coat of trans-Golgi network vesicle', 'antigen processing and presentation of exogenous peptide antigen via MHC class II', 'endolysosome membrane', 'protein-containing complex binding']",0,1,2,3,0
59,MAPRE2,"['cell population proliferation', 'spindle midzone', 'microtubule organizing center', 'positive regulation of GTPase activity', 'positive regulation of adherens junction organization', 'protein localization to microtubule plus-end', 'spindle assembly', 'identical protein binding', 'microtubule plus-end', 'microtubule plus-end binding', 'positive regulation of ARF protein signal transduction', 'focal adhesion', 'positive regulation of keratinocyte migration', 'regulation of microtubule polymerization or depolymerization', 'cell division', 'protein kinase binding', 'cytoplasmic microtubule']",2,1,5,1,0
60,BAG4,"['cytosol', 'cellular response to epidermal growth factor stimulus', 'tumor necrosis factor-mediated signaling pathway', 'protein folding', 'positive regulation of actin filament polymerization', 'positive regulation of stress fiber assembly', 'positive regulation of peptidyl-serine phosphorylation', 'positive regulation of protein kinase B signaling', 'negative regulation of apoptotic process', 'ubiquitin protein ligase binding', 'negative regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity', 'chaperone binding', 'negative regulation of protein targeting to mitochondrion', 'protein localization to plasma membrane', 'positive regulation of cell adhesion', 'RNA binding', 'positive regulation of fibroblast migration', 'plasma membrane', 'nucleus', 'regulation of cellular response to heat', 'ruffle assembly']",3,1,2,3,0
61,SLC7A14,"['lysosomal membrane', 'integral component of membrane', 'transmembrane transport', 'negative regulation of phosphatase activity', 'amino acid transport', 'transmembrane transporter activity']",0,1,0,0,0
