Index,Gene,Known Functions,Signaling,Transport,Organization,Metabolism,Development
12,VTI1A,"['synaptic vesicle', 'Golgi ribbon formation', 'perinuclear region of cytoplasm', 'SNARE complex', 'intra-Golgi vesicle-mediated transport', 'cytosol', 'endoplasmic reticulum to Golgi vesicle-mediated transport', 'endoplasmic reticulum membrane', 'trans-Golgi network membrane', 'SNARE binding', 'voluntary musculoskeletal movement', 'SNAP receptor activity', 'protein targeting to vacuole', 'autophagosome', 'autophagy', 'vesicle fusion with Golgi apparatus', 'ER to Golgi transport vesicle membrane', 'Golgi to vacuole transport', 'clathrin-coated vesicle', 'retrograde transport, endosome to Golgi', 'neuronal cell body', 'integral component of membrane', 'late endosome membrane', 'neuron projection terminus']",0,1,0,1,0
13,PURA,"['nervous system development', 'DNA replication initiation', 'negative regulation of transcription by RNA polymerase II', 'single-stranded DNA binding', 'postsynapse', 'lymphocyte proliferation', 'double-stranded telomeric DNA binding', 'negative regulation of translation', 'glutamatergic synapse', 'dendritic transport of messenger ribonucleoprotein complex', 'DNA-binding transcription repressor activity, RNA polymerase II-specific', 'dendrite cytoplasm', 'cell differentiation', 'RNA polymerase II regulatory region sequence-specific DNA binding', 'epithelial cell proliferation', 'DNA unwinding involved in DNA replication', 'transcription factor binding', 'SMAD binding', 'DNA replication factor A complex', 'translation repressor activity, mRNA regulatory element binding', 'purine-rich negative regulatory element binding', 'RNA binding', 'neuronal cell body', 'positive regulation of cell population proliferation', 'nuclear chromosome, telomeric region']",0,1,0,1,1
14,PALM,"['nucleus', 'negative regulation of dopamine receptor signaling pathway', 'cellular response to electrical stimulus', 'adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway', 'negative regulation of adenylate cyclase activity', 'basolateral plasma membrane', 'cytoskeleton organization', 'protein localization to plasma membrane', 'filopodium membrane', 'intrinsic component of the cytoplasmic side of the plasma membrane', 'dendritic spine membrane', 'postsynaptic density', 'axon', 'apicolateral plasma membrane', 'positive regulation of filopodium assembly', 'synapse maturation', 'regulation of cell shape', 'cytoplasmic vesicle', 'D3 dopamine receptor binding']",2,1,3,1,0
15,DLGAP1,"['protein-containing complex binding', 'postsynaptic membrane', 'chemical synaptic transmission', 'postsynaptic density', 'protein binding', 'cell junction']",0,0,1,1,0
16,SLC18A2,"['serotonin:sodium symporter activity', 'response to amphetamine', 'post-embryonic development', 'dopaminergic synapse', 'synaptic vesicle membrane', 'sequestering of neurotransmitter', 'aminergic neurotransmitter loading into synaptic vesicle', 'transmembrane transport', 'neurotransmitter secretion', 'clathrin-sculpted monoamine transport vesicle membrane', 'negative regulation of reactive oxygen species biosynthetic process', 'locomotory behavior', 'integral component of plasma membrane', 'terminal bouton', 'serotonin uptake', 'dopamine transport']",2,1,0,1,1
17,RAB3A,"['positive regulation of ATPase activity', 'regulation of synaptic vesicle priming', 'plasma membrane', 'evoked neurotransmitter secretion', 'neuromuscular synaptic transmission', 'neutrophil degranulation', 'sensory perception of touch', 'GTP binding', 'extracellular vesicle', 'vesicle docking involved in exocytosis', 'clathrin-sculpted monoamine transport vesicle membrane', 'perinuclear region of cytoplasm', 'regulation of synaptic vesicle fusion to presynaptic active zone membrane', 'intracellular protein transport', 'synaptic vesicle maturation', 'synaptic vesicle recycling', 'ATPase binding', 'cytosol', 'presynaptic active zone', 'protein C-terminus binding', 'lung development', 'clathrin-sculpted glutamate transport vesicle membrane', 'post-translational protein modification', 'GTPase activity', 'post-embryonic development', 'regulation of short-term neuronal synaptic plasticity', 'respiratory system process', 'plasma membrane repair', 'protein secretion', 'positive regulation of regulated secretory pathway', 'Rab protein signal transduction', 'maintenance of presynaptic active zone structure', 'acrosomal vesicle', 'anchored component of synaptic vesicle membrane', 'protein-containing complex', 'GTP-dependent protein binding', 'protein localization to plasma membrane', 'constitutive secretory pathway', 'glutamate secretion', 'myosin V binding', 'response to electrical stimulus', 'ATPase activator activity', 'terminal bouton', 'endosome', 'secretory granule membrane', 'clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane', 'clathrin-sculpted acetylcholine transport vesicle membrane', 'axonogenesis', 'acrosomal vesicle exocytosis', 'mitochondrion organization', 'GDP-dissociation inhibitor binding']",4,2,1,3,2
18,ATP6V1B1,"['proton transmembrane transporter activity', 'ATP hydrolysis coupled proton transport', 'microvillus', 'prostaglandin metabolic process', 'phagosome acidification', 'potassium ion homeostasis', 'regulation of macroautophagy', 'ATP metabolic process', 'olfactory behavior', 'cytosol', 'proton-transporting V-type ATPase, V1 domain', 'calcium ion homeostasis', 'insulin receptor signaling pathway', 'inner ear morphogenesis', 'vacuolar proton-transporting V-type ATPase complex', 'sensory perception of sound', 'adult behavior', 'apical plasma membrane', 'hydrolase activity', 'ATP binding', 'regulation of gene expression', 'chloride ion homeostasis', 'renal sodium ion transport', 'extracellular exosome', 'extrinsic component of synaptic vesicle membrane', 'basolateral plasma membrane', 'transferrin transport', 'protein-containing complex binding', 'renal water homeostasis', 'renal sodium excretion', 'ossification', 'lateral plasma membrane']",2,1,0,3,1
19,SYT1,"['fast, calcium ion-dependent exocytosis of neurotransmitter', 'synaptic vesicle endocytosis', 'synchronous neurotransmitter secretion', '1-phosphatidylinositol binding', 'calcium ion sensor activity', 'detection of calcium ion', 'clathrin-sculpted monoamine transport vesicle membrane', 'brain development', 'SNARE complex', 'hippocampal mossy fiber to CA3 synapse', 'syntaxin-3 binding', 'calcium-dependent activation of synaptic vesicle fusion', 'protein heterooligomerization', 'calcium-dependent protein binding', 'glutamatergic synapse', 'calcium-dependent phospholipid binding', 'protein C-terminus binding', 'chromaffin granule membrane', 'clathrin-sculpted glutamate transport vesicle membrane', 'cell junction', 'Golgi apparatus', 'presynaptic membrane', 'regulation of dopamine secretion', 'vesicle docking', 'excitatory synapse', 'syntaxin-1 binding', 'clathrin binding', 'axon', 'regulation of synaptic transmission, glutamatergic', 'spontaneous neurotransmitter secretion', 'cellular response to calcium ion', 'integral component of synaptic vesicle membrane', 'protein homooligomerization', 'protein heterodimerization activity', 'glutamate secretion', 'phosphatidylinositol-4,5-bisphosphate binding', 'phosphatidylserine binding', 'low-density lipoprotein particle receptor binding', 'clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane', 'positive regulation of dendrite extension', 'identical protein binding', 'clathrin-sculpted acetylcholine transport vesicle membrane', 'calmodulin binding', 'dense core granule', 'neuron projection terminus']",3,1,1,1,1
20,CDH2,"['positive regulation of MAPK cascade', 'integral component of presynaptic active zone membrane', 'alpha-catenin binding', 'gamma-catenin binding', 'sarcolemma', 'cell migration', 'plasma membrane raft', 'cadherin binding', 'protein phosphatase binding', 'regulation of oligodendrocyte progenitor proliferation', 'focal adhesion', 'lamellipodium', 'catenin complex', 'positive regulation of muscle cell differentiation', 'neuroligin clustering involved in postsynaptic membrane assembly', 'regulation of axonogenesis', 'neuronal stem cell population maintenance', 'cell surface', 'positive regulation of synaptic vesicle clustering', 'cerebral cortex development', 'endoplasmic reticulum lumen', 'beta-catenin binding', 'homeostasis of number of cells', 'post-translational protein modification', 'cytoskeletal protein binding', 'negative regulation of canonical Wnt signaling pathway', 'striated muscle cell differentiation', 'neuron projection', 'blood vessel morphogenesis', 'regulation of postsynaptic density protein 95 clustering', 'protein homodimerization activity', 'postsynaptic density', 'apical plasma membrane', 'integral component of postsynaptic specialization membrane', 'cell-cell adhesion mediated by cadherin', 'regulation of synaptic transmission, glutamatergic', 'homophilic cell adhesion via plasma membrane adhesion molecules', 'heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules', 'brain morphogenesis', 'calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules', 'calcium ion binding', 'protein kinase binding', 'collagen-containing extracellular matrix', 'basolateral plasma membrane', 'protein localization to plasma membrane', 'fascia adherens', 'adherens junction organization', 'neuroepithelial cell differentiation', 'cell-cell junction assembly', 'radial glial cell differentiation', 'cortical actin cytoskeleton']",2,1,5,1,2
21,EPHA4,"['positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process', 'axonal growth cone', 'endoplasmic reticulum', 'perikaryon', 'mitochondrial outer membrane', 'ephrin receptor signaling pathway', 'Schaffer collateral - CA1 synapse', 'synapse pruning', 'receptor complex', 'positive regulation of protein tyrosine kinase activity', 'integral component of presynaptic membrane', 'negative regulation of axon regeneration', 'filopodium', 'adult walking behavior', 'neuromuscular junction', 'protein tyrosine kinase binding', 'positive regulation of Rho guanyl-nucleotide exchange factor activity', 'regulation of axonogenesis', 'negative regulation of long-term synaptic potentiation', 'dendritic shaft', 'motor neuron axon guidance', 'protein stabilization', 'cell surface', 'glutamatergic synapse', 'cellular response to amyloid-beta', 'cell junction', 'ephrin receptor binding', 'early endosome membrane', 'Golgi apparatus', 'positive regulation of dendrite morphogenesis', 'glial cell migration', 'negative regulation of proteolysis involved in cellular protein catabolic process', 'PH domain binding', 'axon terminus', 'postsynaptic density', 'regulation of GTPase activity', 'fasciculation of motor neuron axon', 'ATP binding', 'amyloid-beta binding', 'transmembrane-ephrin receptor activity', 'dendritic spine', 'regulation of astrocyte differentiation', 'integral component of postsynaptic membrane', 'GPI-linked ephrin receptor activity', 'fasciculation of sensory neuron axon', 'cell adhesion', 'protein autophosphorylation', 'corticospinal tract morphogenesis', 'positive regulation of amyloid-beta formation', 'DH domain binding', 'nephric duct morphogenesis', 'identical protein binding', 'positive regulation of JUN kinase activity', 'regulation of modification of synaptic structure', 'regulation of dendritic spine morphogenesis']",3,0,2,4,3
22,GRM5,"['neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration', 'G protein-coupled receptor activity involved in regulation of postsynaptic membrane potential', 'Schaffer collateral - CA1 synapse', 'regulation of postsynaptic cytosolic calcium ion concentration', 'regulation of long-term neuronal synaptic plasticity', 'positive regulation of protein tyrosine kinase activity', 'trans-synaptic signaling by endocannabinoid, modulating synaptic transmission', 'protein tyrosine kinase activator activity', 'protein tyrosine kinase binding', 'calcium-mediated signaling using intracellular calcium source', 'synapse organization', 'postsynaptic density membrane', 'locomotory behavior', 'cytoplasm', 'cellular response to amyloid-beta', 'phospholipase C-activating G protein-coupled glutamate receptor signaling pathway', 'neuron projection', 'integral component of plasma membrane', 'regulation of synaptic transmission, glutamatergic', 'modulation of age-related behavioral decline', 'regulation of postsynaptic membrane potential', 'glutamate receptor activity', 'regulation of translational elongation', 'regulation of intracellular calcium activated chloride channel activity', 'learning', 'postsynaptic modulation of chemical synaptic transmission']",4,0,1,1,0
23,SYT7,"['dendrite', 'regulation of bone remodeling', 'lysosomal membrane', 'GABA-ergic synapse', 'early phagosome', 'regulation of synaptic vesicle endocytosis', 'integral component of presynaptic membrane', 'calcium ion regulated lysosome exocytosis', 'hippocampal mossy fiber to CA3 synapse', 'cytosol', 'calcium-dependent activation of synaptic vesicle fusion', 'short-term synaptic potentiation', 'glutamatergic synapse', 'calcium-dependent phospholipid binding', 'regulation of glucagon secretion', 'cell junction', 'regulation of dopamine secretion', 'peroxisomal membrane', 'synaptic vesicle membrane', 'plasma membrane repair', 'calcium ion-regulated exocytosis of neurotransmitter', 'axon terminus', 'regulation of insulin secretion', 'clathrin binding', 'calcium ion binding', 'cellular response to calcium ion', 'syntaxin binding', 'extracellular exosome', 'vesicle-mediated cholesterol transport', 'regulation of phagocytosis', 'phosphatidylinositol-4,5-bisphosphate binding', 'phosphatidylserine binding', 'phagosome-lysosome fusion', 'neuronal cell body', 'phagocytic vesicle membrane', 'calmodulin binding', 'dense core granule']",3,1,1,1,0
24,ADAM23,"['extracellular region', 'proteolysis', 'cell adhesion', 'metalloendopeptidase activity', 'cellular response to leukemia inhibitory factor', 'glutamatergic synapse', 'central nervous system development', 'integrin binding', 'integral component of presynaptic membrane']",1,0,1,1,1
25,RAB18,"['brain development', 'GTPase activity', 'endoplasmic reticulum membrane', 'Golgi apparatus', 'intracellular protein transport', 'synapse', 'plasma membrane', 'neutrophil degranulation', 'GDP binding', 'cytosol', 'protein binding', 'GTP binding', 'secretory granule membrane', 'lipid droplet organization', 'Rab protein signal transduction', 'endoplasmic reticulum tubular network', 'eye development', 'endoplasmic reticulum tubular network organization']",2,1,1,1,1
26,CAMK2A,"['G1/S transition of mitotic cell cycle', 'nucleoplasm', 'postsynaptic membrane', 'Wnt signaling pathway, calcium modulating pathway', 'dendrite morphogenesis', 'Schaffer collateral - CA1 synapse', 'mitochondrion', 'glutamate receptor binding', 'positive regulation of calcium ion transport', 'angiotensin-activated signaling pathway', 'regulation of neuron migration', 'positive regulation of cardiac muscle cell apoptotic process', 'regulation of mitochondrial membrane permeability involved in apoptotic process', 'cytosol', 'calcium-dependent protein serine/threonine kinase activity', 'cell junction', 'endocytic vesicle membrane', 'positive regulation of NF-kappaB transcription factor activity', 'peptidyl-serine phosphorylation', 'calcium- and calmodulin-dependent protein kinase complex', 'protein homodimerization activity', 'postsynaptic density', 'calmodulin-dependent protein kinase activity', 'ATP binding', 'dendritic spine', 'dendritic spine development', 'metal ion binding', 'response to ischemia', 'peptidyl-threonine autophosphorylation', 'regulation of neuronal synaptic plasticity', 'interferon-gamma-mediated signaling pathway', 'regulation of cellular response to heat', 'calmodulin binding', 'regulation of synaptic vesicle docking']",4,1,1,3,2
27,STX1B,"['regulation of synaptic vesicle priming', 'synaptic vesicle', 'negative regulation of synaptic vesicle recycling', 'positive regulation of spontaneous neurotransmitter secretion', 'nucleus', 'neuromuscular junction', 'positive regulation of excitatory postsynaptic potential', 'synaptic vesicle docking', 'synaptic vesicle fusion to presynaptic active zone membrane', 'presynaptic active zone membrane', 'SNARE complex', 'microtubule organizing center', 'cytosol', 'negative regulation of macropinocytosis', 'regulation of synaptic activity', 'calcium ion-regulated exocytosis of neurotransmitter', 'spindle', 'SNARE binding', 'signaling receptor binding', 'axon', 'regulation of gene expression', 'SNAP receptor activity', 'exocytic insertion of neurotransmitter receptor to postsynaptic membrane', 'negative regulation of neuron projection development', 'protein kinase binding', 'integral component of membrane', 'protein domain specific binding']",3,0,3,1,1
28,RTN3,"['endoplasmic reticulum membrane', 'synapse', 'Golgi membrane', 'plasma membrane', 'viral process', 'protein binding', 'endoplasmic reticulum tubular network formation', 'integral component of membrane', 'extracellular space', 'apoptotic process', 'vesicle-mediated transport']",0,1,0,2,0
29,PKP4,"['perinuclear region of cytoplasm', 'nucleus', 'positive regulation of GTPase activity', 'cornification', 'cell-cell contact zone', 'cell-cell adhesion', 'cornified envelope', 'cytoplasmic side of plasma membrane', 'postsynaptic density', 'cell-cell junction assembly', 'cell-cell signaling', 'desmosome', 'mitotic spindle', 'positive regulation of cytokinesis', 'spindle midzone', 'midbody', 'cell-cell adherens junction', 'cadherin binding', 'regulation of cell adhesion', 'spindle pole']",1,0,3,2,0
30,SHANK2,"['growth cone', 'postsynaptic membrane', 'photoreceptor outer segment', 'ionotropic glutamate receptor complex', 'long-term synaptic depression', 'positive regulation of excitatory postsynaptic potential', 'synaptic growth at neuromuscular junction', 'social behavior', 'cytosol', 'dendritic spine morphogenesis', 'SH3 domain binding', 'positive regulation of dendritic spine development', 'brush border membrane', 'ionotropic glutamate receptor binding', 'regulation of AMPA receptor activity', 'GKAP/Homer scaffold activity', 'cell junction', 'long-term synaptic potentiation', 'postsynaptic density assembly', 'postsynaptic density', 'apical plasma membrane', 'adult behavior', 'ciliary membrane', 'dendritic spine', 'brain morphogenesis', 'photoreceptor inner segment', 'neuronal cell body', 'positive regulation of synaptic transmission, glutamatergic', 'neurofilament', 'learning', 'vocalization behavior']",0,0,2,1,3
31,PPFIA1,"['focal adhesion', 'negative regulation of protein localization to plasma membrane', 'signal transduction', 'cell-matrix adhesion', 'neurotransmitter secretion', 'glutamate secretion', 'cytosol', 'protein binding', 'negative regulation of stress fiber assembly', 'presynaptic active zone']",3,1,2,1,0
32,SYP,"['synaptic vesicle endocytosis', 'cholesterol binding', 'Schaffer collateral - CA1 synapse', 'regulation of long-term neuronal synaptic plasticity', 'regulation of opioid receptor signaling pathway', 'perinuclear region of cytoplasm', 'SH2 domain binding', 'neuromuscular junction', 'synaptic vesicle maturation', 'protein self-association', 'presynaptic active zone', 'cellular response to organic substance', 'cell junction', 'synaptic vesicle membrane organization', 'presynaptic membrane', 'regulation of short-term neuronal synaptic plasticity', 'excitatory synapse', 'integral component of synaptic vesicle membrane', 'regulation of synaptic vesicle exocytosis', 'terminal bouton', 'identical protein binding']",2,0,2,1,0
33,RAB5C,"['early endosome membrane', 'GTPase activity', 'intracellular protein transport', 'Rab protein signal transduction', 'anchored component of synaptic vesicle membrane', 'plasma membrane', 'regulation of endocytosis', 'neutrophil degranulation', 'GDP binding', 'azurophil granule membrane', 'protein binding', 'GTP binding', 'endocytic vesicle', 'plasma membrane to endosome transport', 'lipid droplet', 'extracellular exosome', 'melanosome']",2,1,0,1,0
34,AP3D1,"['synaptic vesicle budding from endosome', 'axon cytoplasm', 'plasma membrane', 'presynaptic endosome', 'transporter activity', 'lysosomal membrane', 'antigen processing and presentation, exogenous lipid antigen via MHC class Ib', 'postsynapse', 'endosome membrane', 'protein localization to membrane', 'glutamatergic synapse', 'positive regulation of NK T cell differentiation', 'endosome to melanosome transport', 'synaptic vesicle membrane organization', 'Golgi membrane', 'AP-3 adaptor complex', 'melanosome organization', 'regulation of sequestering of zinc ion', 'protein targeting to vacuole', 'neurotransmitter receptor transport, postsynaptic endosome to lysosome', 'Golgi to vacuole transport', 'anterograde synaptic vesicle transport', 'terminal bouton', 'eye pigment biosynthetic process']",1,2,1,1,0
35,GPM6A,"['stem cell differentiation', 'integral component of presynaptic active zone membrane', 'axonal growth cone', 'neuron projection morphogenesis', 'response to bacterium', 'regulation of synapse organization', 'neuron migration', 'calcium channel activity', 'positive regulation of filopodium assembly', 'protein binding', 'neural retina development', 'glutamatergic synapse', 'neuronal cell body', 'dendritic spine', 'synapse assembly', 'calcium ion transmembrane transport', 'extracellular exosome', 'filopodium']",2,1,2,1,3
